,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
0,291.15,292.52,1,0,1,1,1,0,1,1,0,1. Urbana,233.0,0.0,0.0,29,80,0.0,0
1,274.05,280.2,1,1,1,1,1,1,1,1,0,1. Urbana,276.0,0.0,0.0,17,61,0.0,0
2,269.54,268.9,1,0,1,1,1,1,1,1,0,1. Urbana,156.0,0.0,0.0,13,100,0.0,0
3,263.92,264.22,0,0,1,1,1,0,1,1,1,2. Rural,110.0,0.0,0.0,12,37,0.0,1
4,252.3,256.35,0,1,1,1,1,1,1,1,0,1. Urbana,161.0,0.0,0.0,12,77,0.0,0
5,262.42,260.21,1,1,1,1,1,1,1,1,0,1. Urbana,12.0,0.0,0.0,14,52,0.0,0
6,272.21,267.07,0,0,1,1,1,1,1,1,1,1. Urbana,138.0,0.0,0.0,12,46,0.0,0
7,248.3,255.69,1,1,1,1,1,0,1,1,0,1. Urbana,199.0,0.0,0.0,17,82,0.0,0
8,233.03,248.29,0,0,0,1,1,0,1,1,0,2. Rural,82.0,0.0,0.0,8,40,0.0,1
9,288.18,283.55,1,1,1,1,1,1,1,1,0,2. Rural,246.0,0.0,0.0,20,56,0.0,1
10,258.67,268.28,1,0,1,1,1,0,1,1,0,1. Urbana,157.0,0.0,0.0,13,63,0.0,0
11,240.73,248.34,0,0,1,1,1,1,1,1,1,2. Rural,129.0,0.0,0.0,11,63,0.0,1
12,257.6,267.1,1,0,1,1,1,0,1,1,0,1. Urbana,72.0,0.0,0.0,18,91,0.0,0
13,257.23,250.79,1,1,1,1,1,0,1,1,1,1. Urbana,159.0,0.0,0.0,14,66,0.0,0
14,254.4,266.05,0,0,1,1,0,0,1,1,1,1. Urbana,124.0,0.0,0.0,12,68,0.0,0
15,253.76,260.8,0,0,1,1,0,1,1,1,1,1. Urbana,158.0,0.0,0.0,18,92,0.0,0
16,255.02,260.6,0,0,0,1,0,0,1,1,1,1. Urbana,105.0,0.0,0.0,11,44,0.0,0
17,230.4,246.34,0,0,0,1,1,0,0,1,1,2. Rural,48.0,0.0,0.0,14,46,0.0,1
18,240.86,261.1,1,0,1,1,0,1,1,1,0,1. Urbana,146.0,0.0,0.0,16,52,0.0,0
19,230.79,242.53,1,1,1,1,1,1,1,1,1,1. Urbana,105.0,0.0,0.0,20,156,0.0,0
20,250.26,249.16,1,1,1,1,1,0,1,1,0,1. Urbana,113.0,0.0,0.0,10,60,0.0,0
21,259.21,261.91,1,0,0,1,0,1,1,1,0,1. Urbana,126.0,0.0,0.0,10,38,0.0,0
22,252.56,263.43,1,0,1,1,1,1,1,1,0,1. Urbana,232.0,0.0,0.0,17,89,0.0,0
23,257.94,267.4,0,0,1,1,0,0,1,1,0,1. Urbana,38.0,0.0,0.0,9,59,0.0,0
24,239.58,245.08,0,0,1,1,0,0,1,1,1,1. Urbana,178.0,0.0,0.0,17,81,0.0,0
25,253.87,267.59,0,0,1,1,1,0,1,1,0,1. Urbana,84.0,0.0,0.0,10,52,0.0,0
26,257.2,262.42,1,1,1,1,1,1,1,1,0,1. Urbana,140.0,0.0,0.0,13,52,0.0,0
27,245.98,260.95,1,0,1,1,1,1,1,1,0,2. Rural,57.0,0.0,0.0,2,35,0.0,1
28,242.19,249.59,1,0,1,1,1,1,1,1,1,1. Urbana,67.0,0.0,0.0,13,46,0.0,0
29,247.9,247.07,0,0,1,1,1,1,1,1,1,1. Urbana,207.0,0.0,0.0,12,73,0.0,0
30,224.1,226.3,1,1,1,1,1,0,1,1,0,1. Urbana,260.0,0.0,0.0,26,135,0.0,0
31,246.46,255.71,1,0,1,1,1,1,1,1,1,1. Urbana,265.0,0.0,0.0,20,108,0.0,0
32,243.28,241.99,1,0,1,1,1,1,1,1,1,1. Urbana,61.0,0.0,0.0,8,36,0.0,0
33,239.04,250.04,1,0,0,1,1,1,1,1,0,1. Urbana,84.0,0.0,0.0,9,68,0.0,0
34,274.81,281.4,1,1,1,1,1,1,1,1,1,1. Urbana,128.0,0.0,0.0,12,68,0.0,0
35,240.18,251.79,1,0,1,1,0,0,1,1,1,1. Urbana,107.0,0.0,0.0,13,76,0.0,0
36,247.98,261.61,1,1,1,1,1,1,1,1,0,1. Urbana,169.0,0.0,0.0,20,87,0.0,0
37,262.84,258.26,1,1,1,1,1,1,1,1,0,1. Urbana,228.0,0.0,0.0,20,107,0.0,0
38,243.78,260.88,1,0,1,1,1,0,1,1,0,1. Urbana,139.0,0.0,0.0,19,70,0.0,0
39,262.74,269.68,1,1,1,1,1,1,1,1,0,1. Urbana,222.0,0.0,0.0,25,75,0.0,0
40,248.35,260.05,0,0,0,1,0,0,0,1,0,2. Rural,29.0,0.0,0.0,7,26,0.0,1
41,240.0,238.64,1,0,1,1,1,0,1,1,1,2. Rural,85.0,0.0,0.0,14,45,0.0,1
42,242.63,240.38,1,0,1,1,0,0,1,1,0,1. Urbana,102.0,0.0,0.0,16,69,0.0,0
43,262.41,264.27,1,0,1,1,1,0,1,1,1,1. Urbana,123.0,0.0,0.0,14,61,0.0,0
44,258.42,257.39,1,1,1,1,1,1,1,1,0,1. Urbana,73.0,0.0,0.0,12,71,0.0,0
45,261.2,268.53,0,0,1,1,0,0,1,1,0,2. Rural,27.0,0.0,0.0,13,32,0.0,1
46,244.41,246.96,1,1,1,1,1,0,1,1,1,1. Urbana,79.0,0.0,0.0,11,72,0.0,0
47,250.73,249.31,1,0,1,1,1,0,1,1,0,1. Urbana,53.0,0.0,0.0,10,51,0.0,0
48,274.47,272.27,0,0,1,1,0,0,1,1,0,1. Urbana,107.0,0.0,0.0,23,63,0.0,0
49,260.37,254.55,1,0,1,1,1,0,1,1,0,1. Urbana,85.0,0.0,0.0,10,44,0.0,0
50,273.33,274.79,1,0,1,1,1,0,1,1,0,1. Urbana,125.0,0.0,0.0,16,81,0.0,0
51,240.01,243.61,1,0,1,1,1,0,1,1,0,1. Urbana,104.0,0.0,0.0,8,37,0.0,0
52,235.99,259.72,1,0,0,1,1,0,0,1,0,2. Rural,35.0,0.0,0.0,5,30,0.0,1
53,236.54,243.37,1,1,1,1,1,1,1,1,0,1. Urbana,190.0,0.0,0.0,17,60,0.0,0
54,235.45,231.29,1,1,1,1,1,1,1,1,0,1. Urbana,127.0,0.0,0.0,6,77,0.0,0
55,251.6,256.72,1,0,1,1,1,1,1,1,1,1. Urbana,172.0,0.0,0.0,11,54,0.0,0
56,265.99,258.36,1,1,1,1,1,1,1,1,0,1. Urbana,222.0,0.0,0.0,25,152,0.0,0
57,265.98,288.09,1,0,1,1,0,1,1,1,1,1. Urbana,139.0,0.0,0.0,13,65,0.0,0
58,263.36,263.68,0,0,1,1,0,0,1,1,1,1. Urbana,82.0,0.0,0.0,1,62,0.0,0
59,261.09,262.83,0,0,1,1,0,1,1,1,0,1. Urbana,240.0,0.0,0.0,19,107,0.0,0
60,260.07,263.21,1,0,1,1,1,0,1,1,0,1. Urbana,116.0,0.0,0.0,19,75,0.0,0
61,266.3,252.86,1,0,0,1,1,0,1,1,1,2. Rural,32.0,0.0,0.0,8,46,0.0,1
62,258.01,246.44,1,0,0,1,1,0,1,1,1,2. Rural,50.0,0.0,0.0,10,47,0.0,1
63,273.95,272.9,0,0,1,1,0,1,1,1,0,1. Urbana,267.0,0.0,0.0,15,58,0.0,0
64,244.52,254.59,0,0,1,1,0,0,1,1,0,1. Urbana,64.0,0.0,0.0,12,100,0.0,0
65,251.68,248.44,1,0,0,1,1,0,0,1,1,2. Rural,74.0,0.0,0.0,2,56,0.0,1
66,260.0,254.37,1,1,1,1,1,0,1,1,0,1. Urbana,26.0,0.0,0.0,24,69,0.0,0
67,261.73,266.83,1,1,1,1,1,1,1,1,1,1. Urbana,93.0,0.0,0.0,33,128,0.0,0
68,258.57,257.44,0,0,1,1,0,0,1,1,0,1. Urbana,280.0,0.0,0.0,19,58,0.0,0
69,270.74,270.11,1,0,1,1,1,0,1,1,1,1. Urbana,214.0,0.0,0.0,31,72,0.0,0
70,250.69,258.5,1,0,1,1,1,1,1,1,0,1. Urbana,61.0,0.0,0.0,12,51,0.0,0
71,231.05,221.57,0,0,1,1,0,0,1,1,0,2. Rural,67.0,0.0,0.0,13,50,0.0,1
72,242.99,247.67,0,0,1,1,1,1,1,1,0,1. Urbana,163.0,0.0,0.0,13,83,0.0,0
73,237.63,240.6,1,0,0,1,0,0,0,1,0,2. Rural,22.0,0.0,0.0,1,17,0.0,1
74,219.43,215.84,1,0,0,1,0,0,0,1,0,2. Rural,36.0,0.0,0.0,4,23,0.0,1
75,225.39,229.37,1,0,0,1,0,0,0,1,0,2. Rural,22.0,0.0,0.0,4,17,0.0,1
