,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
0,221.98,212.63,1,0,0,1,1,1,1,1,0,1. Urbana,44.0,0.0,0.0,12,46,0.0,0.0,0.0,6,3,0,0
1,233.81,232.31,1,0,1,1,1,0,1,1,0,1. Urbana,233.0,0.0,0.0,29,80,0.0,0.0,0.0,6,4,0,0
2,248.6,248.6,1,1,1,1,1,1,1,1,0,1. Urbana,129.0,0.0,0.0,34,127,0.0,0.0,0.0,8,5,0,0
3,234.58,216.58,1,0,1,1,1,0,1,1,0,2. Rural,54.0,0.0,0.0,15,82,0.0,0.0,0.0,6,4,1,1
4,223.59,216.79,1,0,1,1,1,1,1,1,0,1. Urbana,156.0,0.0,0.0,13,100,0.0,0.0,0.0,7,4,0,0
5,227.09,227.72,1,0,1,1,1,1,1,1,1,1. Urbana,45.0,0.0,0.0,13,80,0.0,0.0,0.0,7,4,0,0
6,227.83,221.74,1,0,1,1,0,1,1,1,0,1. Urbana,24.0,0.0,0.0,6,35,0.0,0.0,0.0,6,4,0,0
7,210.61,209.67,0,0,0,1,0,1,1,1,1,1. Urbana,40.0,0.0,0.0,15,68,0.0,0.0,0.0,4,2,0,0
8,205.12,210.71,0,0,1,1,1,1,1,1,1,1. Urbana,138.0,0.0,0.0,12,46,0.0,0.0,0.0,6,3,0,0
9,195.55,185.43,0,0,0,1,1,0,1,1,0,2. Rural,82.0,0.0,0.0,8,40,0.0,0.0,0.0,4,2,1,1
10,222.02,211.07,1,1,1,1,1,1,1,1,0,2. Rural,246.0,0.0,0.0,20,56,0.0,0.0,0.0,8,5,1,1
11,214.33,213.8,1,0,1,1,1,0,1,1,0,1. Urbana,157.0,0.0,0.0,13,63,0.0,0.0,0.0,6,4,0,0
12,197.61,189.21,1,0,1,1,1,0,1,1,0,1. Urbana,48.0,0.0,0.0,13,84,0.0,0.0,0.0,6,4,0,0
13,196.98,188.34,0,0,1,1,1,1,1,1,1,2. Rural,129.0,0.0,0.0,11,63,0.0,0.0,0.0,6,3,1,1
14,191.66,187.63,0,0,1,1,1,0,1,1,1,1. Urbana,22.0,0.0,0.0,12,41,0.0,0.0,0.0,5,3,0,0
15,211.97,203.94,0,0,0,1,0,1,1,1,0,1. Urbana,20.0,0.0,0.0,7,30,0.0,0.0,0.0,4,2,0,0
16,203.43,195.94,0,0,1,1,0,1,1,1,1,1. Urbana,158.0,0.0,0.0,18,92,0.0,0.0,0.0,5,3,0,0
17,208.31,206.11,0,0,0,1,0,0,1,1,1,1. Urbana,105.0,0.0,0.0,11,44,0.0,0.0,0.0,3,2,0,0
18,221.95,218.8,1,0,1,1,1,0,1,1,0,1. Urbana,76.0,0.0,0.0,11,48,0.0,0.0,0.0,6,4,0,0
19,206.35,196.03,0,0,0,1,1,0,0,1,1,2. Rural,48.0,0.0,0.0,14,46,0.0,0.0,0.0,3,1,1,1
20,192.74,185.23,1,0,1,1,0,1,1,1,0,1. Urbana,146.0,0.0,0.0,16,52,0.0,0.0,0.0,6,4,0,0
21,168.14,161.17,0,0,0,1,0,1,1,1,0,2. Rural,14.0,0.0,0.0,6,27,0.0,0.0,0.0,4,2,1,1
