"UF","nome","codmun","ano","mes","populacao","pib_capita","nascimentos","mortes","taxa_isolamento"
"RO","Alta Floresta D'Oeste",110001,2020,2,22728,21552.47,49,10,0.313762028255278
"RO","Alta Floresta D'Oeste",110001,2020,3,22728,21552.47,42,8,0.410957733516824
"RO","Alta Floresta D'Oeste",110001,2020,4,22728,21552.47,30,11,0.411934125123187
"RO","Alta Floresta D'Oeste",110001,2020,5,22728,21552.47,24,10,0.439771444109699
"RO","Ariquemes",110002,2020,2,109523,23206.36,239,33,0.302274032496523
"RO","Ariquemes",110002,2020,3,109523,23206.36,268,50,0.382985907351202
"RO","Ariquemes",110002,2020,4,109523,23206.36,150,44,0.415762381587051
"RO","Ariquemes",110002,2020,5,109523,23206.36,143,48,0.395834346236795
"RO","Cacoal",110004,2020,2,85893,25708.96,212,26,0.316755494112133
"RO","Cacoal",110004,2020,3,85893,25708.96,219,44,0.412615702474296
"RO","Cacoal",110004,2020,4,85893,25708.96,116,36,0.438044449925928
"RO","Cacoal",110004,2020,5,85893,25708.96,132,44,0.414557463978431
"RO","Cerejeiras",110005,2020,2,16204,28714.35,34,7,0.318097365681646
"RO","Cerejeiras",110005,2020,3,16204,28714.35,36,7,0.381834139779908
"RO","Cerejeiras",110005,2020,4,16204,28714.35,19,7,0.423814819651316
"RO","Cerejeiras",110005,2020,5,16204,28714.35,22,6,0.379788695703754
"RO","Colorado do Oeste",110006,2020,2,15544,20362.88,33,8,0.3231189152917
"RO","Colorado do Oeste",110006,2020,3,15544,20362.88,40,9,0.423153370680315
"RO","Colorado do Oeste",110006,2020,4,15544,20362.88,13,10,0.469508731538151
"RO","Colorado do Oeste",110006,2020,5,15544,20362.88,16,8,0.453461031746386
"RO","Costa Marques",110008,2020,2,18798,12890.7,23,1,0.342953297867111
"RO","Costa Marques",110008,2020,3,18798,12890.7,26,10,0.437642001494323
"RO","Costa Marques",110008,2020,4,18798,12890.7,14,3,0.443144765014464
"RO","Costa Marques",110008,2020,5,18798,12890.7,10,7,0.421290427371824
"RO","Espigão D'Oeste",110009,2020,2,32695,18984.55,71,16,0.366473474454986
"RO","Espigão D'Oeste",110009,2020,3,32695,18984.55,65,17,0.43445381681002
"RO","Espigão D'Oeste",110009,2020,4,32695,18984.55,31,10,0.461425341491426
"RO","Espigão D'Oeste",110009,2020,5,32695,18984.55,47,12,0.444587448687829
"RO","Guajará-Mirim",110010,2020,2,46556,18279.32,136,22,0.312030131255039
"RO","Guajará-Mirim",110010,2020,3,46556,18279.32,97,20,0.387221076339958
"RO","Guajará-Mirim",110010,2020,4,46556,18279.32,70,18,0.427506933420117
"RO","Guajará-Mirim",110010,2020,5,46556,18279.32,58,42,0.464927492831153
"RO","Jaru",110011,2020,2,51620,28433.31,130,30,0.305756921597329
"RO","Jaru",110011,2020,3,51620,28433.31,113,24,0.377790060491767
"RO","Jaru",110011,2020,4,51620,28433.31,74,18,0.399574853383529
"RO","Jaru",110011,2020,5,51620,28433.31,78,27,0.39126017944871
"RO","Ji-Paraná",110012,2020,2,130009,26287.35,270,50,0.312829126633488
"RO","Ji-Paraná",110012,2020,3,130009,26287.35,247,52,0.399997992266472
"RO","Ji-Paraná",110012,2020,4,130009,26287.35,146,45,0.418157078541927
"RO","Ji-Paraná",110012,2020,5,130009,26287.35,142,56,0.402632367778117
"RO","Machadinho D'Oeste",110013,2020,2,40867,16423.33,91,11,0.314185045999266
"RO","Machadinho D'Oeste",110013,2020,3,40867,16423.33,78,9,0.406719669582353
"RO","Machadinho D'Oeste",110013,2020,4,40867,16423.33,27,7,0.425229940538788
"RO","Machadinho D'Oeste",110013,2020,5,40867,16423.33,41,11,0.447237276403376
"RO","Nova Brasilândia D'Oeste",110014,2020,2,20489,18086.15,37,5,0.330461085872681
"RO","Nova Brasilândia D'Oeste",110014,2020,3,20489,18086.15,36,4,0.378662245597666
"RO","Nova Brasilândia D'Oeste",110014,2020,4,20489,18086.15,17,12,0.406849955052334
"RO","Nova Brasilândia D'Oeste",110014,2020,5,20489,18086.15,22,4,0.418003227582752
"RO","Ouro Preto do Oeste",110015,2020,2,35737,22252.8,74,13,0.293831262595354
"RO","Ouro Preto do Oeste",110015,2020,3,35737,22252.8,96,23,0.37550511632357
"RO","Ouro Preto do Oeste",110015,2020,4,35737,22252.8,42,18,0.403816935599158
"RO","Ouro Preto do Oeste",110015,2020,5,35737,22252.8,32,17,0.3972330686142
"RO","Pimenta Bueno",110018,2020,2,36881,31046.76,67,4,0.317125437960628
"RO","Pimenta Bueno",110018,2020,3,36881,31046.76,85,15,0.401051385844442
"RO","Pimenta Bueno",110018,2020,4,36881,31046.76,49,15,0.425586902886357
"RO","Pimenta Bueno",110018,2020,5,36881,31046.76,51,25,0.416034324320679
"RO","Porto Velho",110020,2020,2,539354,32042.66,1037,172,0.31231803276805
"RO","Porto Velho",110020,2020,3,539354,32042.66,1040,222,0.417353601194784
"RO","Porto Velho",110020,2020,4,539354,32042.66,628,216,0.467701724580404
"RO","Porto Velho",110020,2020,5,539354,32042.66,551,313,0.451462989732605
"RO","Presidente Médici",110025,2020,2,18571,21515.83,34,15,0.35296208306941
"RO","Presidente Médici",110025,2020,3,18571,21515.83,47,6,0.415731713459309
"RO","Presidente Médici",110025,2020,4,18571,21515.83,22,11,0.443225933219614
"RO","Presidente Médici",110025,2020,5,18571,21515.83,23,15,0.440606327009992
"RO","Rolim de Moura",110028,2020,2,55407,24077.57,99,26,0.320299707487464
"RO","Rolim de Moura",110028,2020,3,55407,24077.57,84,32,0.414119132372106
"RO","Rolim de Moura",110028,2020,4,55407,24077.57,81,22,0.440277120031501
"RO","Rolim de Moura",110028,2020,5,55407,24077.57,56,22,0.415045634908602
"RO","Vilhena",110030,2020,2,102211,28420.11,221,36,0.323250221458671
"RO","Vilhena",110030,2020,3,102211,28420.11,224,43,0.398693991044705
"RO","Vilhena",110030,2020,4,102211,28420.11,136,42,0.431790542446465
"RO","Vilhena",110030,2020,5,102211,28420.11,159,50,0.407512819185178
"RO","São Miguel do Guaporé",110032,2020,2,23077,31025.71,56,16,0.347441096534059
"RO","São Miguel do Guaporé",110032,2020,3,23077,31025.71,62,8,0.400881543888032
"RO","São Miguel do Guaporé",110032,2020,4,23077,31025.71,30,9,0.411411697831091
"RO","São Miguel do Guaporé",110032,2020,5,23077,31025.71,31,11,0.477486334114911
"RO","Nova Mamoré",110033,2020,2,31392,17095.19,71,6,0.345543756647012
"RO","Nova Mamoré",110033,2020,3,31392,17095.19,60,12,0.408226568203771
"RO","Nova Mamoré",110033,2020,4,31392,17095.19,32,8,0.441940600020456
"RO","Nova Mamoré",110033,2020,5,31392,17095.19,27,12,0.46951938296521
"RO","Alvorada D'Oeste",110034,2020,2,14106,17423.49,31,8,0.326287052189632
"RO","Alvorada D'Oeste",110034,2020,3,14106,17423.49,28,10,0.406361213778052
"RO","Alvorada D'Oeste",110034,2020,4,14106,17423.49,7,7,0.457502979025962
"RO","Alvorada D'Oeste",110034,2020,5,14106,17423.49,18,7,0.471443359183091
"RO","Alto Paraíso",110040,2020,2,21847,15655.57,28,8,0.320094137230605
"RO","Alto Paraíso",110040,2020,3,21847,15655.57,47,7,0.414974491829417
"RO","Alto Paraíso",110040,2020,4,21847,15655.57,19,6,0.435590781542704
"RO","Alto Paraíso",110040,2020,5,21847,15655.57,13,6,0.418481501836099
"RO","Buritis",110045,2020,2,40356,17489.18,64,8,0.311273118641721
"RO","Buritis",110045,2020,3,40356,17489.18,85,13,0.379569097079542
"RO","Buritis",110045,2020,4,40356,17489.18,45,12,0.389972623814078
"RO","Buritis",110045,2020,5,40356,17489.18,46,12,0.379346425654326
"RO","Candeias do Jamari",110080,2020,2,27388,21856.51,40,11,0.354851578403345
"RO","Candeias do Jamari",110080,2020,3,27388,21856.51,46,7,0.432909610606436
"RO","Candeias do Jamari",110080,2020,4,27388,21856.51,28,7,0.458569467980301
"RO","Candeias do Jamari",110080,2020,5,27388,21856.51,34,21,0.463759324576636
"RO","Chupinguaia",110092,2020,2,11472,27680.65,20,1,0.372746786441529
"RO","Chupinguaia",110092,2020,3,11472,27680.65,20,2,0.399932788118029
"RO","Chupinguaia",110092,2020,4,11472,27680.65,10,3,0.415973086306039
"RO","Chupinguaia",110092,2020,5,11472,27680.65,22,3,0.410683173184278
"RO","Cujubim",110094,2020,2,26183,14739.4,39,7,0.352335991640297
"RO","Cujubim",110094,2020,3,26183,14739.4,34,9,0.404520499516046
"RO","Cujubim",110094,2020,4,26183,14739.4,16,9,0.42123014278659
"RO","Cujubim",110094,2020,5,26183,14739.4,16,3,0.437334335614922
"RO","Itapuã do Oeste",110110,2020,2,10641,17551.21,17,6,0.328215453610724
"RO","Itapuã do Oeste",110110,2020,3,10641,17551.21,27,2,0.407960979873332
"RO","Itapuã do Oeste",110110,2020,4,10641,17551.21,7,3,0.400812042245946
"RO","Itapuã do Oeste",110110,2020,5,10641,17551.21,10,1,0.431393378010565
"RO","Mirante da Serra",110130,2020,2,10818,19672.11,27,5,0.343033397660931
"RO","Mirante da Serra",110130,2020,3,10818,19672.11,24,2,0.420013945631224
"RO","Mirante da Serra",110130,2020,4,10818,19672.11,15,9,0.4148600010257
"RO","Mirante da Serra",110130,2020,5,10818,19672.11,9,4,0.45307681089269
"RO","São Francisco do Guaporé",110149,2020,2,20681,17778.54,39,6,0.310342474568364
"RO","São Francisco do Guaporé",110149,2020,3,20681,17778.54,26,3,0.369802418250709
"RO","São Francisco do Guaporé",110149,2020,4,20681,17778.54,21,7,0.411531319181909
"RO","São Francisco do Guaporé",110149,2020,5,20681,17778.54,26,10,0.438478543521889
"AC","Acrelândia",120001,2020,2,15490,15737.64,32,8,0.328380379202718
"AC","Acrelândia",120001,2020,3,15490,15737.64,25,3,0.425500474472966
"AC","Acrelândia",120001,2020,4,15490,15737.64,19,1,0.440096885288628
"AC","Acrelândia",120001,2020,5,15490,15737.64,18,6,0.433600432057412
"AC","Brasiléia",120010,2020,2,26702,16165.25,59,6,0.312974746519202
"AC","Brasiléia",120010,2020,3,26702,16165.25,71,4,0.384529225273248
"AC","Brasiléia",120010,2020,4,26702,16165.25,47,14,0.420885389408681
"AC","Brasiléia",120010,2020,5,26702,16165.25,37,16,0.434863492066098
"AC","Bujari",120013,2020,2,10420,15606.47,34,5,0.309387028400998
"AC","Bujari",120013,2020,3,10420,15606.47,29,5,0.389171034761988
"AC","Bujari",120013,2020,4,10420,15606.47,23,10,0.449492790305523
"AC","Bujari",120013,2020,5,10420,15606.47,15,5,0.476780825751431
"AC","Capixaba",120017,2020,2,12008,14874.52,27,2,0.298253228011711
"AC","Capixaba",120017,2020,3,12008,14874.52,20,6,0.408659309473277
"AC","Capixaba",120017,2020,4,12008,14874.52,17,5,0.424493702056289
"AC","Capixaba",120017,2020,5,12008,14874.52,17,6,0.455732231596428
"AC","Cruzeiro do Sul",120020,2020,2,89072,16261.39,266,36,0.322340334628148
"AC","Cruzeiro do Sul",120020,2020,3,89072,16261.39,267,27,0.401346856482689
"AC","Cruzeiro do Sul",120020,2020,4,89072,16261.39,152,36,0.478311730018264
